25	80.0	2.614
25	85.0	2.643
25	90.0	2.671
25	95.0	2.697
25	100.0	2.721
25	120.0	2.807
25	140.0	2.878
25	160.0	2.936
25	180.0	2.984
25	200.0	3.024
25	220.0	3.057
25	240.0	3.085
25	260.0	3.107
25	280.0	3.126
25	300.0	3.142
25	350.0	3.171
25	400.0	3.189
25	450.0	3.200
25	500.0	3.207
25	600.0	3.214
25	700.0	3.217
25	800.0	3.218
25	900.0	3.219
30	70.0	2.551
30	80.0	2.615
30	90.0	2.672
30	100.0	2.723
30	120	2.812
30	140.0	2.886
30	160.0	2.950
30	165.0	2.965
30	170.0	2.979
30	175.0	2.992
30	180	3.006
30	200.0	3.054
30	250.0	3.150
30	300.0	3.219
30	350.0	3.269
30	400.0	3.306
30	450.0	3.332
30	500.0	3.351
30	600.0	3.375
30	700.0	3.387
30	800.0	3.394
30	900.0	3.397
30	1000.0	3.399
30	1200.0	3.401
30	1400.0	3.401
35	120.00	2.813
35	140.00	2.888
35	160.00	2.953
35	180.00	3.011
35	200.00	3.063
35	220.00	3.109
35	240.00	3.152
35	260.00	3.191
35	280.00	3.226
35	300.00	3.259
35	350.00	3.331
35	400.00	3.391
35	450.00	3.440
35	500.00	3.482
35	550.00	3.516
35	600.00	3.545
35	650.00	3.568
35	700.00	3.588
35	800.00	3.619
35	900.00	3.640
35	1000.00	3.655
35	1200.00	3.672
35	1400.00	3.681
35	1600.00	3.685
35	1800.00	3.687
35	2000.00	3.688
35	2500.00	3.689
40	120.00	2.813
40	140.00	2.888
40	160.00	2.953
40	180.00	3.011
40	200.00	3.063
40	220.00	3.109
40	240.00	3.152
40	260.00	3.191
40	280.00	3.226
40	300.00	3.259
40	350.00	3.331
40	400.00	3.391
40	450.00	3.440
40	500.00	3.482
40	550.00	3.516
40	600.00	3.545
40	650.00	3.568
40	700.00	3.588
40	800.00	3.619
40	900.00	3.640
40	1000.00	3.655
40	1200.00	3.672
40	1400.00	3.681
40	1600.00	3.685
40	1800.00	3.687
40	2000.00	3.688
40	2500.00	3.689
50	200.00	3.064
50	220.00	3.111
50	240.00	3.154
50	260.00	3.193
50	280.00	3.229
50	300.00	3.263
50	350.00	3.339
50	400.00	3.405
50	450.00	3.461
50	500.00	3.512
50	550.00	3.556
50	600.00	3.595
50	650.00	3.630
50	700.00	3.661
50	750.00	3.688
50	800.00	3.713
50	850.00	3.735
50	900.00	3.754
50	950.00	3.771
50	1000.00	3.787
50	1200.00	3.833
50	1400.00	3.862
50	1600.00	3.881
50	1800.00	3.892
50	2000.00	3.900
50	2200.00	3.904
